,comment,download,follow,name,num_score,score,tags,volume
3260,10.0,6435.0,39.0,好唱Show,5.0,3.6,"['K歌', '唱歌', 'KTV']",51.68
3261,220.0,6436.0,94.0,鲁大师VR评测,11.0,3.7,[],37.81
3262,110.0,6437.0,364.0,斑马隐私管家,73.0,4.6,[],13.56
3263,23.0,6440.0,111.0,我的表情包,7.0,3.9,"['斗图', '表情', '恶搞', '搞笑']",4.44
3264,102.0,6442.0,857.0,Anki 朗读器,19.0,4.5,"['Anki', 'AnkiDroid', '记忆卡片', '单词']",1.59
3265,14.0,6445.0,9.0,猎豹锁屏大师壁纸:Colorful CM Locker Wallpaper,45.0,2.7,"['壁纸', '锁屏']",3.23
3266,96.0,6447.0,661.0,归途wallpaper,15.0,4.3,[],0.821611328125
3267,25.0,6457.0,203.0,妹子图,8.0,3.6,"['美女', '妹子', '妹纸']",1.87
3268,35.0,6471.0,55.0,3D东东,11.0,3.8,"['3D', '电影', '视频']",126.8
3269,10.0,6480.0,8.0,四川航空,3.0,4.2,"['出境游', '自驾游', '国内游', '综合旅游', '航班查询', '旅行', '订票', '四川', '航空']",16.51
3270,33.0,6397.0,166.0,快手闪电狗（无水印下载作品）,13.0,3.2,['快手'],1.56
3271,56.0,6403.0,189.0,阴阳师xperia主题,10.0,4.3,"['xperia主题', '阴阳师']",22.66
3272,22.0,6409.0,62.0,音乐闹钟,6.0,3.8,['闹钟'],1.7
3273,121.0,6415.0,1088.0,超星拯救者,14.0,4.5,['xposed'],1.26
3274,42.0,6423.0,311.0,Own日记,17.0,4.3,"['日记', '记录', '记事本']",48.65
3275,101.0,6424.0,196.0,滑稽-Xperia主题,29.0,4.4,"['Xperia主题', '索尼']",3.35
3276,15.0,6429.0,17.0,皮皮影视HD,9.0,3.6,"['视频', '电影', '电视剧']",15.12
3277,124.0,6429.0,452.0,昕浏览器 Pro,20.0,4.1,['浏览器'],1.85
3278,3.0,6384.0,10.0,杭州银行,4.0,4.0,"['银行', '电子银行']",26.38
3279,119.0,6393.0,637.0,手绘左下图标包,19.0,4.4,['图标'],4.42
3280,90.0,6348.0,922.0,耳机按键设置,9.0,4.2,"['耳机', '按键', '酷友作品']",0.036416015625
3281,26.0,6355.0,293.0,趣刻,7.0,4.1,"['干货', '程序员', '妹纸', '教程', '代码']",5.02
3282,75.0,6356.0,280.0,solar system - Xperia主题,29.0,4.5,"['xperia主题', 'sony', '索尼']",2.54
3283,16.0,6358.0,97.0,艺术头条,20.0,3.3,"['新闻', '展览', '书画']",35.3
3284,46.0,6358.0,225.0,网易美学,15.0,3.6,"['美妆', '化妆', '种草']",24.97
3285,16.0,6359.0,83.0,麦萌漫画,25.0,2.9,"['ACG', '二次元', '动漫', 'cos', '宅']",14.74
3286,99.0,6362.0,534.0,HEX,55.0,3.9,"['浏览器', '搜索', '百度']",24.7
3287,41.0,6369.0,325.0,java编译器,5.0,4.0,"['java', '编译器', '编程']",6.33
3288,17.0,6333.0,570.0,PaletteHK,10.0,3.9,[],7.75
3289,35.0,6334.0,293.0,WithMe私密日记本,21.0,4.2,"['日记', '记录', '笔记', '记事本']",28.0
3290,18.0,6290.0,93.0,自测用药,19.0,3.7,"['健康', '药品', '治疗', '医疗']",15.01
3291,11.0,6297.0,101.0,挑战Plank,15.0,4.4,"['健身', '锻炼', '平板', '支撑']",13.59
3292,28.0,6304.0,315.0,Unsplash壁纸（官方）:Unsplash Wallpapers,9.0,4.3,"['Unsplash', '壁纸', '桌面']",6.25
3293,24.0,6304.0,194.0,Flutter Gallery,4.0,4.3,"['开发', '程序员']",23.52
3294,9.0,6310.0,9.0,天翼阅读,27.0,3.0,"['小说', '电信']",11.32
3295,14.0,6312.0,51.0,派代随身,9.0,3.8,['电商'],19.49
3296,89.0,6313.0,754.0,魔法分享 - Web内容分享助手,14.0,4.4,['分享'],3.53
3297,63.0,6317.0,148.0,大冲流量助手,13.0,3.3,['流量'],4.67
3298,25.0,6318.0,340.0,GIF转视频,15.0,4.2,[],2.75
3299,109.0,6328.0,50.0,汕头公交Minus,16.0,4.1,"['公交查询', '汕头', '汕头公交']",2.83
3300,504.0,6217.0,2793.0,快否,27.0,4.5,"['检测', '测试', '跑分', '性能']",4.4
3301,26.0,6220.0,43.0,爱流量,6.0,3.6,"['流量', '移动']",12.17
3302,43.0,6223.0,57.0,看房-买房、找房、楼盘、房产、看房团,38.0,2.7,"['房产', '买房', '二手房', '租房']",13.8
3303,29.0,6256.0,413.0,导航手势,10.0,3.7,[],0.582861328125
3304,73.0,6267.0,397.0,简约天气,15.0,4.3,['天气'],1.42
3305,27.0,6268.0,13.0,江西银行个人手机银行,4.0,4.3,['银行'],29.18
3306,83.0,6269.0,378.0,初音ミクHatsune Miku - Xperia主题,12.0,4.1,['Xperia主题'],21.77
3307,14.0,6274.0,46.0,几维遥控器,7.0,3.5,"['家电', '遥控']",4.55
3308,110.0,6277.0,1567.0,ANMPP[超级主机]-Nginx\MySQL\PHP-FPM\PostgreSQL\FTP SERVER,17.0,4.5,[],5.53
3309,31.0,6287.0,53.0,苏宁阅读,22.0,3.3,"['小说', '看书', '阅读器', '苏宁']",17.73
3310,76.0,6128.0,71.0,沃宽,16.0,3.5,"['运营商', '提网速']",23.77
3311,31.0,6155.0,139.0,Launcoogle - Google 启动器,14.0,3.8,['启动器'],0.0433984375
3312,106.0,6180.0,155.0,鲜柚桌面,76.0,4.3,"['锁屏', '美化', '定制']",23.87
3313,43.0,6184.0,242.0,索尼xperia未来主题体验版,4.0,4.1,"['xperia主题', '主题美化']",5.1
3314,103.0,6187.0,876.0,屏幕翻译（全能屏幕操作）,41.0,3.9,[],2.83
3315,77.0,6198.0,486.0,每日英语,30.0,4.6,['英语'],0.851904296875
3316,26.0,6198.0,118.0,Xperia Theme XPERIA LOGO White,21.0,4.8,['XPERIA主题'],1.17
3317,85.0,6207.0,325.0,VIPER HiFi,25.0,4.0,[],41.14
3318,7.0,6208.0,25.0,共享e家,6.0,4.2,"['民宿', '酒店']",25.71
3319,53.0,6118.0,450.0,验证码提取器,32.0,4.7,[],1.72
3320,29.0,6084.0,146.0,自在找,24.0,3.5,"['防丢', 'tile']",27.18
3321,20.0,6086.0,24.0,中银易商,14.0,4.1,['中国银行'],28.32
3322,7.0,6089.0,19.0,亿家健康,5.0,3.6,"['挂号', '看病', '医疗']",47.36
3323,110.0,6094.0,539.0,PureMusic,18.0,4.1,"['音乐', '播放器', '音乐播放器', '听歌']",3.86
3324,25.0,6095.0,178.0,Armageddon动态壁纸,8.0,4.0,[],10.46
3325,56.0,6097.0,103.0,Custed,25.0,4.7,"['cust', '长春理工大学', '长理']",4.55
3326,48.0,6102.0,373.0,电量伪装[ROOT],18.0,4.4,[],0.015
3327,99.0,6108.0,1106.0,BookShelf,82.0,4.7,"['图书', '整理', '藏书']",3.67
3328,47.0,6117.0,266.0,洋葱,24.0,4.0,"['安全', '验证']",17.75
