,_id,comment,download,follow,name,num_score,score,tags,volume
141,5c26c725b031602c92eaa043,899,108万,573,GO桌面(锁屏主题美化壁纸),424,3.3,"['launcher', '桌面', '启动器']",7.76M
142,5c26c726b031602c92eaa044,694,109万,1414,快牙,452,3.0,"['文件传输', '分享', '共享']",7.56M
143,5c26c727b031602c92eaa045,458,109万,961,爱壁纸_桌面锁屏,437,3.9,"['壁纸', '背景']",10.36M
144,5c26c729b031602c92eaa046,981,109万,559,腾讯手机管家—微信清理,1062,2.5,"['腾讯', '安全防护', 'QQ', '手机安全']",19.22M
145,5c26c729b031602c92eaa047,1400,109万,1536,全民K歌,459,3.1,"['唱歌', 'k歌', 'ktv', '录歌']",53.02M
146,5c26c72ab031602c92eaa048,3254,110万,9881,星空视频壁纸,1124,4.7,"['动态壁纸', '视频桌面']",1.19M
147,5c26c72bb031602c92eaa049,500,111万,426,腾讯新闻-事实派，真实客观的精品资讯,681,2.0,"['新闻', '门户', '资讯', '装机必备']",23.75M
148,5c26c72cb031602c92eaa04a,1949,112万,1755,中国移动,596,2.2,"['中国移动', '营业厅', '运营商']",21.88M
149,5c26c72db031602c92eaa04b,1612,112万,3037,QQ轻聊版,830,3.0,"['聊天', 'qq']",11.02M
150,5c26c730b031602c92eaa04c,767,101万,1878,相册,425,4.5,"['相册', '图库']",17.81M
151,5c26c731b031602c92eaa04d,674,101万,4171,下厨房,588,3.9,"['菜谱', '菜肴', '做菜', '美食']",23.90M
152,5c26c732b031602c92eaa04e,520,102万,675,58同城 -租房招聘兼职二手车,309,2.3,"['赶集', '生活', '购物', '二手']",49.15M
153,5c26c733b031602c92eaa04f,683,104万,227,金山手机毒霸,289,2.6,"['安全防护', '金山']",8.73M
154,5c26c735b031602c92eaa050,701,104万,4109,Keep,497,3.7,"['健身', '锻炼', '教学', '身材']",60.29M
155,5c26c736b031602c92eaa051,4365,105万,1.2万,镧·系统工具箱,1445,4.7,"['工具箱', '系统', '分区', 'cpu', '格式化', '温控', '分辨率', 'dpi']",2.20M
156,5c26c737b031602c92eaa052,9054,106万,1.3万,应用变量,720,4.6,"['xposed', '小尾巴', '装逼']",3.67M
157,5c26c738b031602c92eaa053,370,106万,2964,MT管理器,302,4.6,['文件管理'],0.83M
158,5c26c739b031602c92eaa054,416,106万,1054,我查查,206,2.9,"['条码', '购物', '二维码']",12.69M
159,5c26c73ab031602c92eaa055,910,107万,530,千千音乐,1438,1.9,['音乐电台'],25.01M
160,5c26c73db031602c92eaa056,1427,95万,1569,腾讯地图—精准导航实时路况,773,3.5,"['腾讯', '地图', '导航', 'GPS', '路线']",38.02M
161,5c26c73eb031602c92eaa057,906,96万,1831,金山词霸,1015,4.3,"['词霸', '翻译', '英语', '词典']",26.13M
162,5c26c740b031602c92eaa058,6591,97万,1.2万,微软桌面,4395,4.7,"['桌面', '启动器']",30.95M
163,5c26c741b031602c92eaa059,452,99万,2035,TrackID曲目识别,326,4.6,"['音乐识别', '猎曲奇兵', '音乐电台']",12.19M
164,5c26c742b031602c92eaa05a,1497,99万,5011,百词斩,2410,4.6,"['单词', '英语', '外语']",36.38M
165,5c26c744b031602c92eaa05b,843,99万,3522,扇贝单词,771,4.4,"['单词', '外语']",50.08M
166,5c26c745b031602c92eaa05c,72,99万,438,快看影视,60,3.4,"['视频', '电影']",50.61M
167,5c26c746b031602c92eaa05d,490,101万,316,百度视频,712,1.8,['视频'],56.82M
168,5c26c748b031602c92eaa05e,610,101万,2732,Microsoft Word,340,4.2,"['文字处理', '微软', 'office']",79.57M
169,5c26c74ab031602c92eaa05f,589,94万,1859,万能遥控,446,3.4,"['miui', '小米']",33.61M
170,5c26c74cb031602c92eaa060,295,91万,731,旺信-阿里旺旺手机版,626,2.0,"['即时聊天', '淘宝', '旺旺', '阿里巴巴']",28.20M
171,5c26c74db031602c92eaa061,1333,92万,2322,微云,666,2.5,"['网盘', '下载', '腾讯']",42.63M
172,5c26c74eb031602c92eaa062,1010,92万,1180,飞猪,812,3.8,['旅行'],57.22M
173,5c26c74fb031602c92eaa063,1800,92万,1456,电信营业厅,962,3.0,"['营业厅', '电信', '运营商']",30.68M
174,5c26c751b031602c92eaa064,547,93万,9227,Pixlr - 照片处理,561,4.7,"['图片', '图片处理', '修图']",31.34M
175,5c26c752b031602c92eaa065,1528,93万,1829,驾考宝典-驾照考试|驾校理论,677,4.3,"['驾照', '驾校', '机动车']",69.95M
176,5c26c754b031602c92eaa066,313,94万,629,百度糯米,1645,2.0,['团购'],32.78M
177,5c26c755b031602c92eaa067,2212,94万,3367,火狐浏览器,754,4.3,"['Firefox', '火狐', '浏览器']",31.60M
178,5c26c756b031602c92eaa068,93,94万,788,千变动态头像,19,4.3,"['动态', '头像', '千变']",4.26M
179,5c26c757b031602c92eaa069,348,94万,399,土豆视频,203,2.7,"['视频', '电影']",30.98M
180,5c26c75ab031602c92eaa06a,398,83万,4411,网易公开课,904,4.6,"['教育', '学习', '公开课']",29.73M
181,5c26c75cb031602c92eaa06b,1174,83万,3909,Anyview阅读器,623,4.2,"['阅读器', '电子书']",9.38M
182,5c26c75db031602c92eaa06c,367,84万,306,天气通,194,3.3,"['天气', '时钟']",16.76M
183,5c26c75eb031602c92eaa06d,833,85万,646,360超级ROOT,880,2.2,"['root', '辅助加强']",6.97M
184,5c26c760b031602c92eaa06e,150,86万,382,HTC相机:HTC Camera,74,3.8,"['照相', '拍照', '相机', '摄影']",33.43M
185,5c26c761b031602c92eaa06f,700,86万,698,苏宁易购,357,2.3,"['电商', '购物', '家电', '双11', '装机必备']",94.00M
186,5c26c762b031602c92eaa070,210,86万,2039,Microsoft Excel,183,4.0,"['电子表格', '微软', 'office']",74.94M
187,5c26c764b031602c92eaa071,154,87万,1336,LINE camera,107,4.4,"['摄影', '特效相机', '拍照', 'line']",44.29M
188,5c26c765b031602c92eaa072,1275,88万,1758,钉钉,774,2.5,"['聊天', '通话']",67.30M
189,5c26c766b031602c92eaa073,2144,90万,2250,115,991,2.4,"['网盘', '下载']",58.80M
190,5c26c768b031602c92eaa074,1213,79万,5287,Power Clean,791,4.0,['清理优化'],7.28M
191,5c26c76ab031602c92eaa075,132,79万,197,魔秀桌面,117,2.5,['launcher'],14.09M
192,5c26c76bb031602c92eaa076,867,80万,1347,小猿搜题,598,3.2,"['题库', '学霸', '学渣', '考试']",47.21M
193,5c26c76cb031602c92eaa077,1179,80万,488,百度,3543,1.7,['搜索'],73.92M
194,5c26c76eb031602c92eaa078,183,80万,604,懒人听书FM-电台小说收音机,89,3.2,"['阅读器', '听书']",19.05M
195,5c26c76fb031602c92eaa079,762,81万,933,招商银行掌上生活,160,2.6,"['信用卡', '招行', '银行']",70.12M
